repo,owner,web_url,file,line_number,category,pattern,line
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,mermaid_20260312_2c9de6.svg,2,symmetric,DES\b,"<svg xmlns:xhtml=""http://www.w3.org/1999/xhtml"" xmlns:xlink=""http://www.w3.org/1999/xlink"" xmlns=""http://www.w3.org/2000/svg"" id=""mermaid-svg-4"" width=""100%"" class=""flowchart"" style=""max-width: 100%;"" viewBox=""-103.5 -103.5 12332.53125 2277"" height=""100%""><style>#mermaid-svg-4{font-family:""trebuchet"
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,mermaid_20260312_7fcfcb.svg,2,symmetric,DES\b,"<svg xmlns:xhtml=""http://www.w3.org/1999/xhtml"" xmlns:xlink=""http://www.w3.org/1999/xlink"" xmlns=""http://www.w3.org/2000/svg"" id=""mermaid-svg-5"" width=""100%"" class=""flowchart"" style=""max-width: 100%;"" viewBox=""-178.5 -178.5 8736.625 3927"" height=""100%""><style>#mermaid-svg-5{font-family:""trebuchet ms"
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,ai_poisoning_attacks_cases.md,3,symmetric,DES\b,| Attack | Where the Poison Hides | Trigger | Result |
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,ai_vulnerabilities_patterns.md,77,symmetric,DES\b,"| **Trust Persistence** | The trust model in some IDEs is misleading, as core functionality requires marking a workspace as ""trusted,"" effectively making trust an entry point to the product rather than a deliberate conferral of privileges. | Google Antigravity IDE | [Mindgard Disclosures](https://mi"
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,ai_vulnerabilities_patterns.md,280,symmetric,DES\b,"This document maps the critical locations where AI-powered IDEs are vulnerable, from initial entry points to data exfiltration channels."
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,ai_vulnerabilities_patterns.md,325,symmetric,DES\b,| | **🔑 Key Issue** | No authentication is required—the server provides complete open access to anyone who can reach it. |
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,ai_vulnerabilities_patterns.md,406,symmetric,DES\b,This reveals that AI IDEs have multiple concentric trust zones. Vulnerabilities exist at every layer where untrusted workspace data interacts with trusted IDE functionality.
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,ai_vulnerabilities_patterns.md,411,symmetric,DES\b,"Based on the checklist's mapping, this document shows how 9 key security gates block the 25 vulnerability patterns in AI IDEs."
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,ai_vulnerabilities_patterns.md,425,symmetric,DES\b,| **G2 — Initialization Safety** | **1 pattern**: 1.7 (Race Condition) — *upgrades all config attacks to zero-click if missing* | **Medium** — prevents startup execution |
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,ai_vulnerabilities_patterns.md,611,symmetric,DES\b,"| **Denial of Service** | Resource exhaustion attacks. These can bring a developer's machine to a standstill, halt CI/CD pipelines, or consume excessive cloud credits. May require reboot or VM termination. Includes fork bombs, memory exhaustion, disk filling, and API rate limit exhaustion. **Consequ"
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,ai_vulnerabilities_patterns.md,612,symmetric,DES\b,"| **Antagonism** | Merely annoying attacks. The most commonly encountered class. Includes `rm -rf /` jokes that fail due to permissions, infinite notification popups, changing editor themes, playing sounds, or deleting temporary files. May require restart of IDE. **Consequences: Light to Moderate** "
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,ai_vulnerabilities_patterns.md,721,symmetric,DES\b,## Architecture Diagram: Defense-in-Depth for AI IDEs
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,ai_safety_mcp.md,617,symmetric,DES\b,This detection scheme provides:
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,mermaid_20260312_90a8f7.svg,2,symmetric,DES\b,"<svg xmlns:xhtml=""http://www.w3.org/1999/xhtml"" xmlns:xlink=""http://www.w3.org/1999/xlink"" xmlns=""http://www.w3.org/2000/svg"" id=""mermaid-svg-21"" width=""100%"" class=""flowchart"" style=""max-width: 100%;"" viewBox=""-46.380468750000006 -46.380468750000006 1198.8468750000002 1020.3703125"" height=""100%""><s"
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,utility_mechanisms/stealth_mode_model_provider_redirect.py,84,symmetric,DES\b,- Overrides the API endpoint environment variables
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,utility_mechanisms/http_dns_hybrid_json_schema_ref.py,125,symmetric,DES\b,Creates multiple malicious configuration files for different IDEs/tools
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,utility_mechanisms/http_dns_hybrid_json_schema_ref.py,290,symmetric,DES\b,Includes a decoder that can extract the original data from:
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,utility_mechanisms/http_dns_hybrid_json_schema_ref.py,299,symmetric,DES\b,Includes multi-vector examples for other IDEs and tools
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,utility_mechanisms/dns_exfiltration_via_ping_nslookup.py,341,symmetric,DES\b,"Properly decodes the data and shows the ""Would exfiltrate X bytes"" message"
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,poisoned_pickles/01.py,176,symmetric,DES\b,# The XOR-encoded payload just decodes and executes the original payload
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,poisoned_pickles/00.py,104,symmetric,DES\b,# Create exec sequence with protocol 4 pickle opcodes
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,poisoned_pickles/readme.md,30,symmetric,DES\b,- Safetensors provides format-level protection against code execution
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,poisoned_pickles/readme.md,142,symmetric,DES\b,This script provides:
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,poisoned_pickles/readme.md,159,symmetric,DES\b,This extensive script includes:
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,poisoned_pickles/readme.md,178,symmetric,DES\b,- SafeTensors provides the best protection (no code execution possible)
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,poisoned_pickles/readme.md,193,signature,digital.?signature,- Verify checksums and digital signatures
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,poisoned_pickles/08.py,231,symmetric,DES\b,# Only activate in specific conditions (evades sandbox detection)
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,poisoned_pickles/08.py,342,py_import,^\s*import\s+hashlib\b,import hashlib
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,poisoned_pickles/08.py,824,symmetric,DES\b,Provides cleanup code to remove demo files when done
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,poisoned_pickles/03.py,139,symmetric,DES\b,# Create a structure that includes both the payload and original data
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,poisoned_pickles/06.py,224,symmetric,DES\b,Provides clear educational output - Explains what's happening at each step
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,poisoned_pickles/06.py,226,symmetric,DES\b,Includes security recommendations - Teaches how to stay safe
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,poisoned_pickles/02.py,61,symmetric,DES\b,3. Hides bytecode in the unpickled object
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,poisoned_pickles/02.py,476,symmetric,DES\b,# Look for REDUCE opcodes (R)
ai_ml_vulnerabilities,ursa-mikail,https://github.com/ursa-mikail/ai_ml_vulnerabilities,poisoned_pickles/02.py,481,symmetric,DES\b,# Look for GLOBAL opcodes (c)
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,3,py_import,^\s*import\s+hmac\b,import hmac
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,3,kdf,\bHMAC\b,import hmac
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,4,py_import,^\s*import\s+hashlib\b,import hashlib
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,5,py_import,^\s*from\s+cryptography\b,"from cryptography.hazmat.primitives.ciphers import Cipher, algorithms, modes"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,5,symmetric,DES\b,"from cryptography.hazmat.primitives.ciphers import Cipher, algorithms, modes"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,6,py_import,^\s*from\s+cryptography\b,from cryptography.hazmat.backends import default_backend
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,7,py_import,^\s*from\s+Crypto\b,from Crypto.Random import get_random_bytes
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,7,random,get_random_bytes\b,from Crypto.Random import get_random_bytes
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,9,kdf,\bHKDF\b,"def hkdf(key, salt, info, length=32):"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,10,kdf,\bHMAC\b,"prk = hmac.new(salt, key, hashlib.sha256).digest()"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,16,kdf,\bHMAC\b,"t = hmac.new(prk, t + info + bytes([counter]), hashlib.sha256).digest()"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,23,symmetric,AES\b,"encKey = hkdf(key, enc_info, b""AES encryption key"")"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,23,kdf,\bHKDF\b,"encKey = hkdf(key, enc_info, b""AES encryption key"")"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,24,kdf,\bHKDF\b,"macKey = hkdf(key, mac_info, b""HMAC authentication key"")"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,24,kdf,\bHMAC\b,"macKey = hkdf(key, mac_info, b""HMAC authentication key"")"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,28,cipher_mode,\bCTR\b,"encKey, macKey = derive_keys(key, b""encryption-ctr-hmac"", b""authentication-ctr-hmac"")"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,28,kdf,\bHMAC\b,"encKey, macKey = derive_keys(key, b""encryption-ctr-hmac"", b""authentication-ctr-hmac"")"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,29,random,get_random_bytes\b,nonce = get_random_bytes(16)
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,31,symmetric,AES\b,"cipher = Cipher(algorithms.AES(encKey), modes.CTR(nonce), backend=default_backend())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,31,symmetric,DES\b,"cipher = Cipher(algorithms.AES(encKey), modes.CTR(nonce), backend=default_backend())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,31,cipher_mode,\bCTR\b,"cipher = Cipher(algorithms.AES(encKey), modes.CTR(nonce), backend=default_backend())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,35,kdf,\bHMAC\b,"tag = hmac.new(macKey, nonce + ciphertext, hashlib.sha256).digest()"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,39,cipher_mode,\bCTR\b,"encKey, macKey = derive_keys(key, b""encryption-ctr-hmac"", b""authentication-ctr-hmac"")"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,39,kdf,\bHMAC\b,"encKey, macKey = derive_keys(key, b""encryption-ctr-hmac"", b""authentication-ctr-hmac"")"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,45,kdf,\bHMAC\b,"expected_tag = hmac.new(macKey, nonce + actual_ciphertext, hashlib.sha256).digest()"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,47,kdf,\bHMAC\b,"if not hmac.compare_digest(received_tag, expected_tag):"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,50,symmetric,AES\b,"cipher = Cipher(algorithms.AES(encKey), modes.CTR(nonce), backend=default_backend())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,50,symmetric,DES\b,"cipher = Cipher(algorithms.AES(encKey), modes.CTR(nonce), backend=default_backend())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,50,cipher_mode,\bCTR\b,"cipher = Cipher(algorithms.AES(encKey), modes.CTR(nonce), backend=default_backend())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,55,symmetric,AES\b,"cipher = Cipher(algorithms.AES(key), modes.CBC(iv), backend=default_backend())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,55,symmetric,DES\b,"cipher = Cipher(algorithms.AES(key), modes.CBC(iv), backend=default_backend())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,55,cipher_mode,\bCBC\b,"cipher = Cipher(algorithms.AES(key), modes.CBC(iv), backend=default_backend())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,62,random,get_random_bytes\b,key = get_random_bytes(32)
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,83,random,get_random_bytes\b,key = get_random_bytes(32)
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,86,random,get_random_bytes\b,iv = get_random_bytes(16)
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,100,symmetric,AES\b,key = get_random_bytes(32)  # AES-256 key
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,100,random,get_random_bytes\b,key = get_random_bytes(32)  # AES-256 key
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,104,cipher_mode,\bCTR\b,"print(""Encrypted (CTR):"", encrypted_ctr.hex())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,107,cipher_mode,\bCTR\b,"print(""Decrypted (CTR):"", decrypted_ctr.decode())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,109,cipher_mode,\bCBC\b,"print(""\n--- CBC-MAC Forgery Example ---"")"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,119,cipher_mode,\bCTR\b,Encrypted (CTR): 7e0781257e0bef4a69b9903d4274c374ce6c4bfc94b5783e634edd936334fdf94a70cc32b144369b07ce0f7b78b6e813435667b05c7543c51e0cb6a43a2ca5b46b340155
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,120,cipher_mode,\bCTR\b,Decrypted (CTR): Confidential message
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_weaknesses_demo.py,122,cipher_mode,\bCBC\b,--- CBC-MAC Forgery Example ---
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,3,py_import,^\s*import\s+hmac\b,import hmac
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,3,kdf,\bHMAC\b,import hmac
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,4,py_import,^\s*import\s+hashlib\b,import hashlib
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,5,py_import,^\s*from\s+cryptography\b,"from cryptography.hazmat.primitives.ciphers import Cipher, algorithms, modes"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,5,symmetric,DES\b,"from cryptography.hazmat.primitives.ciphers import Cipher, algorithms, modes"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,6,py_import,^\s*from\s+cryptography\b,from cryptography.hazmat.backends import default_backend
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,7,py_import,^\s*from\s+Crypto\b,from Crypto.Random import get_random_bytes
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,7,random,get_random_bytes\b,from Crypto.Random import get_random_bytes
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,9,kdf,\bHKDF\b,"def hkdf(key, salt, info, length=32):"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,10,kdf,\bHMAC\b,"prk = hmac.new(salt, key, hashlib.sha256).digest()"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,16,kdf,\bHMAC\b,"t = hmac.new(prk, t + info + bytes([counter]), hashlib.sha256).digest()"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,23,symmetric,AES\b,"encKey = hkdf(key, enc_info, b""AES encryption key"")"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,23,kdf,\bHKDF\b,"encKey = hkdf(key, enc_info, b""AES encryption key"")"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,24,kdf,\bHKDF\b,"macKey = hkdf(key, mac_info, b""HMAC authentication key"")"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,24,kdf,\bHMAC\b,"macKey = hkdf(key, mac_info, b""HMAC authentication key"")"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,28,cipher_mode,\bCTR\b,"encKey, macKey = derive_keys(key, b""encryption-ctr-hmac"", b""authentication-ctr-hmac"")"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,28,kdf,\bHMAC\b,"encKey, macKey = derive_keys(key, b""encryption-ctr-hmac"", b""authentication-ctr-hmac"")"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,29,random,get_random_bytes\b,nonce = get_random_bytes(16)
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,31,symmetric,AES\b,"cipher = Cipher(algorithms.AES(encKey), modes.CTR(nonce), backend=default_backend())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,31,symmetric,DES\b,"cipher = Cipher(algorithms.AES(encKey), modes.CTR(nonce), backend=default_backend())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,31,cipher_mode,\bCTR\b,"cipher = Cipher(algorithms.AES(encKey), modes.CTR(nonce), backend=default_backend())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,35,kdf,\bHMAC\b,"tag = hmac.new(macKey, nonce + ciphertext, hashlib.sha256).digest()"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,39,cipher_mode,\bCTR\b,"encKey, macKey = derive_keys(key, b""encryption-ctr-hmac"", b""authentication-ctr-hmac"")"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,39,kdf,\bHMAC\b,"encKey, macKey = derive_keys(key, b""encryption-ctr-hmac"", b""authentication-ctr-hmac"")"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,45,kdf,\bHMAC\b,"expected_tag = hmac.new(macKey, nonce + actual_ciphertext, hashlib.sha256).digest()"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,47,kdf,\bHMAC\b,"if not hmac.compare_digest(received_tag, expected_tag):"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,50,symmetric,AES\b,"cipher = Cipher(algorithms.AES(encKey), modes.CTR(nonce), backend=default_backend())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,50,symmetric,DES\b,"cipher = Cipher(algorithms.AES(encKey), modes.CTR(nonce), backend=default_backend())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,50,cipher_mode,\bCTR\b,"cipher = Cipher(algorithms.AES(encKey), modes.CTR(nonce), backend=default_backend())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,55,symmetric,AES\b,key = get_random_bytes(32)  # AES-256 key
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,55,random,get_random_bytes\b,key = get_random_bytes(32)  # AES-256 key
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,59,cipher_mode,\bCTR\b,"print(""Encrypted (CTR):"", encrypted_ctr.hex())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,62,cipher_mode,\bCTR\b,"print(""Decrypted (CTR):"", decrypted_ctr.decode())"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,66,cipher_mode,\bCTR\b,Encrypted (CTR): e65cde9eab75349353b9f944344391eafab27846f75b5f28020c80bbd3765e28112142f34cb284b1e0797c8c7b0d960e01a78b3b88683c2e65dd866ffa42657dd43f6755
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_ctr_hmac.py,67,cipher_mode,\bCTR\b,Decrypted (CTR): Confidential message
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_hmac.py,2,py_import,^\s*import\s+hmac\b,import hmac
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_hmac.py,2,kdf,\bHMAC\b,import hmac
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_hmac.py,3,py_import,^\s*import\s+hashlib\b,import hashlib
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_hmac.py,4,py_import,^\s*from\s+cryptography\b,"from cryptography.hazmat.primitives.ciphers import Cipher, algorithms, modes"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_hmac.py,4,symmetric,DES\b,"from cryptography.hazmat.primitives.ciphers import Cipher, algorithms, modes"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_hmac.py,5,py_import,^\s*from\s+cryptography\b,from cryptography.hazmat.backends import default_backend
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_hmac.py,6,py_import,^\s*from\s+Crypto\b,from Crypto.Random import get_random_bytes
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_hmac.py,6,random,get_random_bytes\b,from Crypto.Random import get_random_bytes
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_hmac.py,8,kdf,\bHKDF\b,"def hkdf(key, salt, info, length=32):"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_hmac.py,9,kdf,\bHMAC\b,"prk = hmac.new(salt, key, hashlib.sha256).digest()"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_hmac.py,15,kdf,\bHMAC\b,"t = hmac.new(prk, t + info + bytes([counter]), hashlib.sha256).digest()"
aes_utility,ursa-mikail,https://github.com/ursa-mikail/aes_utility,aes_cbc_hmac.py,22,symmetric,AES\b,"encKey = hkdf(key, b""encryption-cbc-hmac"", b""AES-CBC encryption key"")"
