repo,owner,language,visibility,web_url,match_count,categories,scanned,error
about_primes,ursa-mikail,Python,public,https://github.com/ursa-mikail/about_primes,0,,True,
ambassador_pattern_example,ursa-mikail,Python,public,https://github.com/ursa-mikail/ambassador_pattern_example,0,,True,
ai_ml_vulnerabilities,ursa-mikail,Python,public,https://github.com/ursa-mikail/ai_ml_vulnerabilities,35,"py_import, signature, symmetric",True,
aes_utility,ursa-mikail,Python,public,https://github.com/ursa-mikail/aes_utility,320,"cipher_mode, kdf, py_import, random, symmetric",True,
authentication_authorization_system,ursa-mikail,Python,public,https://github.com/ursa-mikail/authentication_authorization_system,37,"kdf, py_import, signature",True,
At-The-Back-Of-Your-Head-An-Insight-To-Mnemonics,ursa-mikail,HTML,public,https://github.com/ursa-mikail/At-The-Back-Of-Your-Head-An-Insight-To-Mnemonics,4,symmetric,True,
activity_monitoring,ursa-mikail,Jupyter Notebook,public,https://github.com/ursa-mikail/activity_monitoring,13,"cipher_mode, symmetric",True,
banking_transaction_and_in_memory_database_system,ursa-mikail,Jupyter Notebook,public,https://github.com/ursa-mikail/banking_transaction_and_in_memory_database_system,0,,True,
basic_openai_api_usage,ursa-mikail,Python,public,https://github.com/ursa-mikail/basic_openai_api_usage,0,,True,
batch_text_replacement,ursa-mikail,Python,public,https://github.com/ursa-mikail/batch_text_replacement,0,,True,
batch_certificate_generation_with_intermediary_ca_automation,ursa-mikail,Python,public,https://github.com/ursa-mikail/batch_certificate_generation_with_intermediary_ca_automation,6,"asymmetric, key_mgmt, py_import, symmetric",True,
binary_field_multiplication,ursa-mikail,Go,public,https://github.com/ursa-mikail/binary_field_multiplication,0,,True,
beginning_ML_analytics,ursa-mikail,Python,public,https://github.com/ursa-mikail/beginning_ML_analytics,53,"fpe_token, symmetric",True,
birthday_paradox,ursa-mikail,Python,public,https://github.com/ursa-mikail/birthday_paradox,8,"cipher_mode, symmetric",True,
blockchain_simple_learn_demo,ursa-mikail,Python,public,https://github.com/ursa-mikail/blockchain_simple_learn_demo,103,"hash_func, kdf, py_import, random, signature, symmetric",True,
caution-on-canonicalization-of-data-struct-format-under-parsing-vulnerabilities,ursa-mikail,Python,public,https://github.com/ursa-mikail/caution-on-canonicalization-of-data-struct-format-under-parsing-vulnerabilities,1,symmetric,True,
cache_friendly_b_tree_node_in_rust,ursa-mikail,Rust,public,https://github.com/ursa-mikail/cache_friendly_b_tree_node_in_rust,2,symmetric,True,
challenge_and_response,ursa-mikail,Python,public,https://github.com/ursa-mikail/challenge_and_response,27,"fpe_token, kdf, py_import, random, signature",True,
chartjs-react-tutorial,ursa-mikail,JavaScript,public,https://github.com/ursa-mikail/chartjs-react-tutorial,1,symmetric,True,
cert_utility,ursa-mikail,Python,public,https://github.com/ursa-mikail/cert_utility,415,"asymmetric, cipher_mode, kdf, key_mgmt, py_import, signature, symmetric, tls",True,
bolting_and_molting_with_rust_an_anarchist_coding_cook_book,ursa-mikail,Rust,public,https://github.com/ursa-mikail/bolting_and_molting_with_rust_an_anarchist_coding_cook_book,6,"cipher_mode, kdf, symmetric, zkp",True,
bolting_and_molting_with_golang_an_anarchist_coding_cook_book,ursa-mikail,Go,public,https://github.com/ursa-mikail/bolting_and_molting_with_golang_an_anarchist_coding_cook_book,242,"asymmetric, cipher_mode, kdf, key_mgmt, py_import, signature, symmetric",True,
chrome-ext-utilities-timestamp-and-random-hex,ursa-mikail,JavaScript,public,https://github.com/ursa-mikail/chrome-ext-utilities-timestamp-and-random-hex,0,,True,
chrome-ext-moon-phase,ursa-mikail,JavaScript,public,https://github.com/ursa-mikail/chrome-ext-moon-phase,0,,True,
clean_zsh_history,ursa-mikail,Python,public,https://github.com/ursa-mikail/clean_zsh_history,2,symmetric,True,
